jurisdiction,year,prisoner_count,state_population
UTAH,2010,5442,2775479
VERMONT,2010,2079,625909
VIRGINIA,2010,31911,8023953
WASHINGTON,2010,17028,6742950
WEST VIRGINIA,2010,5072,1854368
WISCONSIN,2010,22033,5691659
WYOMING,2010,2092,564554
ALABAMA,2011,26813,4803689
ALASKA,2011,6216,723860
ARIZONA,2011,39949,6467315
ARKANSAS,2011,14090,2938582
CALIFORNIA,2011,147578,37683933
COLORADO,2011,21862,5116302
CONNECTICUT,2011,17877,3586717
DELAWARE,2011,6546,908137
FLORIDA,2011,100861,19082262
GEORGIA,2011,52844,9812460
HAWAII,2011,5454,1378129
IDAHO,2011,7470,1583744
ILLINOIS,2011,48427,12859752
INDIANA,2011,27402,6516353
IOWA,2011,9115,3064097
KANSAS,2011,9330,2870386
KENTUCKY,2011,14001,4366814
LOUISIANA,2011,18844,4574766
MAINE,2011,1978,1328544
MARYLAND,2011,23001,5839572
MASSACHUSETTS,2011,11467,6607003
MICHIGAN,2011,42904,9876801
MINNESOTA,2011,9309,5347299
MISSISSIPPI,2011,15390,2977457
MISSOURI,2011,30969,6008984
MONTANA,2011,3125,997667
NEBRASKA,2011,4657,1842234
NEVADA,2011,12159,2720028
NEW HAMPSHIRE,2011,2423,1317807
NEW JERSEY,2011,23642,8834773
NEW MEXICO,2011,6687,2078674
NEW YORK,2011,55196,19501616
NORTH CAROLINA,2011,39662,9651103
NORTH DAKOTA,2011,1385,684740
OHIO,2011,50961,11541007
OKLAHOMA,2011,23750,3784163
OREGON,2011,13728,3868229
PENNSYLVANIA,2011,49710,12743948
RHODE ISLAND,2011,3032,1050646
SOUTH CAROLINA,2011,22363,4673348
SOUTH DAKOTA,2011,3562,823593
TENNESSEE,2011,19831,6399787
TEXAS,2011,159956,25631778
UTAH,2011,5294,2814347
VERMONT,2011,2053,626592
VIRGINIA,2011,30531,8104384
WASHINGTON,2011,17109,6823267
WEST VIRGINIA,2011,5149,1854908
WISCONSIN,2011,22388,5709843
WYOMING,2011,2162,567356
ALABAMA,2012,26768,4817528
ALASKA,2012,6308,730307
ARIZONA,2012,40013,6551149
ARKANSAS,2012,14043,2949828
CALIFORNIA,2012,132935,37999878
COLORADO,2012,20328,5189458
CONNECTICUT,2012,17164,3591765
DELAWARE,2012,6730,917053
FLORIDA,2012,99835,19320749
GEORGIA,2012,55178,9915646
HAWAII,2012,5297,1390090
IDAHO,2012,7715,1595590
ILLINOIS,2012,49348,12868192
INDIANA,2012,28034,6537782
IOWA,2012,8735,3075039
KANSAS,2012,9505,2885398
KENTUCKY,2012,12998,4379730
LOUISIANA,2012,18601,4602134
MAINE,2012,1977,1328501
MARYLAND,2012,21810,5884868
MASSACHUSETTS,2012,11127,6645303
MICHIGAN,2012,43594,9882519
MINNESOTA,2012,9421,5379646
MISSISSIPPI,2012,15791,2986450
MISSOURI,2012,31205,6024522
MONTANA,2012,3095,1005494
NEBRASKA,2012,4721,1855350
NEVADA,2012,12594,2754354
NEW HAMPSHIRE,2012,2568,1321617
