jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
NEW JERSEY,2004,30943,392,1331,13076,16144,211313,41030,139977,30306,,,,,,,,,,
NEW MEXICO,2004,13081,169,1039,2062,9811,79895,19924,52069,7902,,,,,,,,,,
NEW YORK,2004,84914,889,3608,33506,46911,422734,70696,311036,41002,,,,,,,,,,
NORTH CAROLINA,2004,38244,532,2339,11782,23591,355328,101193,227147,26988,,,,,,,,,,
NORTH DAKOTA,2004,558,8,177,43,330,12493,2040,9516,937,,,,,,,,,,
OHIO,2004,38787,506,4744,17429,16108,419337,96518,282168,40651,,,,,,,,,,
OKLAHOMA,2004,17635,186,1557,3090,12802,149472,35244,101271,12957,,,,,,,,,,
OREGON,2004,10724,90,1283,2751,6600,166475,30072,117868,18535,,,,,,,,,,
PENNSYLVANIA,2004,50998,650,3535,18474,28339,299611,54443,214199,30969,,,,,,,,,,
RHODE ISLAND,2004,2673,26,320,731,1596,31166,5465,21623,4078,,,,,,,,,,
SOUTH CAROLINA,2004,33160,286,1772,5468,25634,190456,43739,130991,15726,,,,,,,,,,
SOUTH DAKOTA,2004,1319,17,336,112,854,14885,3148,10890,847,,,,,,,,,,
TENNESSEE,2004,41113,357,2282,8863,29611,254991,60386,169828,24777,,,,,,,,,,
TEXAS,2004,121554,1364,8388,35817,75985,1010702,220118,696507,94077,,,,,,,,,,
UTAH,2004,5647,46,967,1236,3398,97762,15225,74889,7648,,,,,,,,,,
VERMONT,2004,713,16,160,78,459,14559,3435,10537,587,,,,,,,,,,
VIRGINIA,2004,20608,390,1816,6899,11503,200368,28759,154154,17455,,,,,,,,,,
WASHINGTON,2004,21330,190,2857,5866,12417,300837,60632,196972,43233,,,,,,,,,,
WEST VIRGINIA,2004,5110,68,346,774,3922,46326,10994,31566,3766,,,,,,,,,,
WISCONSIN,2004,11548,154,1136,4067,6191,146710,23854,111482,11374,,,,,,,,,,
WYOMING,2004,1163,11,112,67,973,16889,2738,13352,799,,,,,,,,,,
ALABAMA,2005,19678,374,1564,6447,11293,177393,43473,120780,13140,,,,,,,,,,
ALASKA,2005,4194,32,538,537,3087,23975,4131,17249,2595,,,,,,,,,,
ARIZONA,2005,30478,445,2006,8579,19448,287345,56328,176112,54905,,,,,,,,,,
ARKANSAS,2005,14670,189,1202,2532,10747,112914,30118,75510,7286,,,,,,,,,,
CALIFORNIA,2005,190178,2503,9392,63622,114661,1200531,250521,692467,257543,,,,,,,,,,
COLORADO,2005,18498,173,2026,3948,12351,188449,34746,127602,26101,,,,,,,,,,
CONNECTICUT,2005,9542,105,712,3933,4792,90270,15245,64416,10609,,,,,,,,,,
DELAWARE,2005,5332,37,377,1306,3612,26245,5811,18085,2349,,,,,,,,,,
FLORIDA,2005,125957,883,6592,30141,88341,712998,164783,472912,75303,,,,,,,,,,
GEORGIA,2005,40725,564,2143,14041,23977,378534,84463,249594,44477,,,,,,,,,,
HAWAII,2005,3253,24,343,1001,1885,61115,9792,42188,9135,,,,,,,,,,
IDAHO,2005,3670,35,577,266,2792,38556,8066,27606,2884,,,,,,,,,,
ILLINOIS,2005,70496,770,4313,23255,42158,394670,77635,277662,39373,,,,,,,,,,
INDIANA,2005,20302,356,1856,6809,11281,216778,43756,151278,21744,,,,,,,,,,
IOWA,2005,8697,40,847,1153,6657,84370,18147,60723,5500,,,,,,,,,,
KANSAS,2005,10701,101,1098,1795,7707,104588,19028,76222,9338,,,,,,,,,,
KENTUCKY,2005,11134,190,1421,3690,5833,105608,26458,70354,8796,,,,,,,,,,
LOUISIANA,2005,26889,450,1421,5337,19681,166611,39382,112840,14389,,,,,,,,,,
MAINE,2005,1483,19,326,323,815,31889,6323,24218,1348,,,,,,,,,,
MARYLAND,2005,39369,552,1266,14378,23173,198483,35922,128491,34070,,,,,,,,,,
MASSACHUSETTS,2005,29644,178,1751,7837,19878,151727,34728,98079,18920,,,,,,,,,,
MICHIGAN,2005,55936,629,5199,13348,36760,312892,70527,194090,48275,,,,,,,,,,
MINNESOTA,2005,15243,115,2258,4724,8146,158301,29716,114304,14281,,,,,,,,,,
MISSISSIPPI,2005,8131,214,1147,2405,4365,95231,26866,60873,7492,,,,,,,,,,
MISSOURI,2005,30477,402,1625,7196,21254,227809,42822,159288,25699,,,,,,,,,,
MONTANA,2005,2634,18,301,177,2138,29407,3642,23794,1971,,,,,,,,,,
NEBRASKA,2005,5052,44,581,1040,3387,60348,9408,45359,5581,,,,,,,,,,
NEVADA,2005,14654,206,1016,4702,8730,102424,23481,52012,26931,,,,,,,,,,
NEW HAMPSHIRE,2005,1761,19,406,365,971,24031,4192,18493,1346,,,,,,,,,,
NEW JERSEY,2005,30919,417,1208,13215,16079,203391,38980,136728,27683,,,,,,,,,,
NEW MEXICO,2005,12448,144,1041,1893,9370,79575,20939,50707,7929,,,,,,,,,,
NEW YORK,2005,85839,874,3636,35179,46150,405990,68034,302220,35736,,,,,,,,,,
NORTH CAROLINA,2005,40650,585,2302,12635,25128,353855,104298,221091,28466,,,,,,,,,,
NORTH DAKOTA,2005,706,12,180,54,460,12848,2043,9732,1073,,,,,,,,,,
OHIO,2005,40162,590,4671,18673,16228,420705,100183,279051,41471,,,,,,,,,,
OKLAHOMA,2005,18044,187,1481,3230,13146,143406,35692,93814,13900,,,,,,,,,,
OREGON,2005,10444,80,1266,2478,6620,160199,27621,113316,19262,,,,,,,,,,
PENNSYLVANIA,2005,52761,756,3586,19214,29205,300444,56134,214916,29394,,,,,,,,,,
RHODE ISLAND,2005,2710,34,323,776,1577,29287,5319,19567,4401,,,,,,,,,,
SOUTH CAROLINA,2005,32590,314,1862,5657,24757,185606,42741,126489,16376,,,,,,,,,,
SOUTH DAKOTA,2005,1387,18,377,145,847,13694,2505,10350,839,,,,,,,,,,
